CO_PROCEDIMENTO,NO_PROCEDIMENTO
0211090050,DETERMINACAO DE PRESSAO INTRA-ABDOMINAL
0211090069,PERFIL DE PRESSAO URETRAL
0211090077,UROFLUXOMETRIA
0211100013,APLICAÇÃO DE TESTE P/ PSICODIAGNÓSTICO
0212010018,EXAMES IMUNOHEMATOLOGICOS EM DOADOR DE SANGUE
0212010026,EXAMES PRE-TRANSFUSIONAIS I
0212010034,EXAMES PRE-TRANSFUSIONAIS II
0212010042,"FENOTIPAGEM K, FYA, FYB, JKA, JKB EM GEL"
0212010050,SOROLOGIA DE DOADOR DE SANGUE
0212010069,TESTE DO ÁCIDO NUCLEICO (NAT) EM AMOSTRAS DE SANGUE DO DOADOR DE SANGUE.
0212020013,DELEUCOCITACAO DE CONCENTRADO DE HEMACIAS
0212020021,DELEUCOCITACAO DE CONCENTRADO DE PLAQUETAS
0212020030,IRRADIACAO DE SANGUE E COMPONENTES DESTINADOS A TRANSFUSAO
0212020048,PREPARO DE COMPONENTES ALIQUOTADOS
0212020056,PREPARO DE COMPONENTES LAVADOS
0212020064,PROCESSAMENTO DE SANGUE
0213010020,ENSAIO IMUNOENZIMÁTICO -TESTE DE ELISA PARA IDENTIFICAÇÃO DE LEPTOSPIRAS (LEPTOSPIROSE)
0213010038,ENSAIO IMUNOENZIMATICO-ELISA P/ IDENTIFICAÇÃO DO VÍRUS DA FEBRE DO NILO OCIDENTAL
0213010054,EXAME PARASITOLOGICO DIRETO P/ LEISHMANIAS (LEISHMANIOSE TEGUMENTAR AMERICANA)
0213010062,EXAME PARASITOLOGICO DIRETO P/ LEISHMANIA CHAGAS1 (LEISHMANIOSE VISCERAL CANINA)
0213010070,EXAME PARASITOLOGICO DIRETO P/ LEISHMANIA CHAGASI (LEISHMANIOSE VISCERAL HUMANA)
0213010089,FAGOTIPAGEM P/ IDENTIFICAÇÃO DA SALMONELA TYPHI (FEBRE TIFOIDE)
0213010097,HISTOPATOLOGIA P/ IDENTIFICACAO DA HEPATITE A
0213010100,HISTOPATOLOGIA P/ IDENTIFICACAO DA HEPATITE D
0213010119,HISTOPATOLOGIA P/ IDENTIFICAÇÃO DE DENGUE
0213010127,HISTOPATOLOGIA PARA IDENTIFICAÇÃO DE FEBRE AMARELA
0213010135,HISTOPATOLOGIA P/ IDENTIFICACAO DE HEPATITE B
0213010143,HISTOPATOLOGIA P/ IDENTIFICACAO DE HEPATITE C
0213010160,HISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA HEPATITE A
0213010178,HISTOQUIMICA P/ IDENTIFICACAO DE HEPATITE C
0213010186,IDENTIFICAÇÃO DE VÍRUS DA RAIVA POR RT-PCR
0213010194,IDENTIFICAÇÃO DO HANTAVÍRUS POR RT-PCR (HANTAVIROSE)
0213010208,IDENTIFICACAO DO VIRUS DA HEPATITE B POR PCR (QUANTITATIVO)
0213010216,IMUNOCROMATOGRAFIA PARA IDENTIFICAÇÃO DE PLASMODIOS (MALARIA)
0213010224,IMUNOFLUORESCENCIA DIRETA P/ IDENTIFICACAO DO VIRUS DA INFLUENZA
0213010232,IMUNOFLUORESCENCIA DIRETA PARA IDENTIFICAÇÃO DO VÍRUS DA RAIVA
0213010240,IMUNOFLUORESCENCIA INDIRETA P/ (IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE)
0213010259,IMUNOFLUORESCENCIA INDIRETA P/ IDENTIFICAÇÃO DA RICKETTSIA RICKTTSII (FEBRE MACULOSA)
0213010267,IMUNOFLUORESCENCIA INDIRETA P/ IDENTIFICAÇÃO DE PLASMODIOS (MALARIA)
0213010275,IMUNOFLUORESCENCIA INDIRETA P/ IDENTIFICACAO DO SHISTOSSOMA MANSONI
0213010291,IMUNOHISTOQUIMICA P/ IDENTIFICAÇÃO DA RICKETTISIA RICKETTSII (FEBRE MACULOSA)
0213010305,IMUNOHISTOQUIMICA P/ IDENTIFICAÇÃO DE LEPTOSPIRAS (LEPTOSPIROSE)
0213010321,IMUNOHISTOQUIMICA P/ IDENTIFICAÇÃO DO HANTAVÍRUS (HANTAVIROSE)
0213010330,IMUNOHISTOQUIMICA P/ IDENTIFICAÇÃO DO VÍRUS DA DENGUE
0213010348,IMUNOHISTOQUIMICA P/ IDENTIFICAÇÃO DO VIRUS DA FEBRE AMARELA
0213010356,IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA HEPATITE B
0213010364,IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA HEPATITE D
0213010372,ISOLAMENTO DA RICKETTSIA RICKTTSII (FEBRE MACULOSA)
0213010380,ISOLAMENTO DO VÍRUS DA DENGUE
0213010399,ISOLAMENTO DO VIRUS DA FEBRE DO NILO OCIDENTAL
0213010402,ISOLAMENTO DO VIRUS DA INFLUENZA
0213010410,ISOLAMENTO DO VIRUS DA MENINGITE VIRAL
0213010429,ISOLAMENTO DO VIRUS DA POLIOMIELITE
0213010437,ISOLAMENTO DO VIRUS DA RAIVA
0213010445,ISOLAMENTO DO VIRUS DO SARAMPO
0213010453,MICRO-AGLUTINACAO PARA IDENTIFICAÇÃO DE LEPTOSPIRAS (LEPTOSPIROSE)
0213010461,PESQUISA DE TRIPANOSSOMAS (NO BARBEIRO)
0213010470,PROVA BIOLOGICA PARA IDENTIFICAÇÃO DO VÍRUS DA RAIVA
0213010488,PROVA CONTRA-IMUNOELETROFORESE PARA MENINGOCOCOS (MENINGITE BACTERIANA)
0213010496,PROVA DE TOXIGENICIDADE P/ BACILO DIFTERICO (IN VITRO)
0213010500,QUANTIFICACAO DA CARGA VIRAL DO HIV (RNA)
0213010518,SEQUENCIAMENTO P/ IDENTIFICACAO DO VIRUS DA MENINGITE VIRAL
0213010526,SEQUENCIAMENTO P/ IDENTIFICACAO DO VIRUS DA POLIOMIELITE
0213010534,SEQUENCIAMENTO P/ IDENTIFICAÇÃO DO VÍRUS DO SARAMPO
0213010542,GENOTIPAGEM DO VIRUS DA HEPATITE C (HCV)
0213010550,SOROLOGIA P/ IDENTIFICACAO DO VIBRIO CHOLERAE
0213010569,TESTE DE ELISA IGG PARA IDENTIFICAÇÃO DE PARVOVIRUS (PARVOVIROSE)
0213010577,TESTE DE ELISA IGG P/ IDENTIFICACAO DO TOXOPLASMA GONDII (TOXOPLASMOSE)
0213010585,TESTE DE ELISA IGG PARA IDENTIFICAÇÃO DO VÍRUS DO SARAMPO
0213010607,TESTE DE ELISA IGM P/ IDENTIFICAÇÃO DO PARVOVIRUS (PARVOVIROSE)
0213010615,TESTE DE ELISA IGM PARA IDENTIFICAÇÃO DO VÍRUS DO SARAMPO
0213010623,TESTE DE ELISA P/ IDENTIFICACAO DO VIRUS DA FEBRE AMARELA (ENSAIO IMUNOENZIMATICO)
0213010631,TESTE DE HEMAGLUTINACAO INDIRETA P/ IDENTIFICACAO DO VIRUS DA INFLUENZA
0213010640,TESTE DE HEMAGLUTINAÇÃO PARA IDENTIFICAÇÃO DA PASTEURELLA PESTIS (PESTE BUBONICA)
0213010658,TESTE DE HEMAGLUTINAÇÃO PARA IDENTIFICAÇÃO DO VÍRUS DA FEBRE AMARELA
0213010666,TESTE DE HEMAGLUTINAÇÃO PARA IDENTIFICAÇÃO DO VÍRUS DA FEBRE DO NILO OCIDENTAL
0213010674,TESTE DE HIBRIDIZAÇÃO IN SITU PARA IDENTIFICAÇÃO DO VÍRUS DA DENGUE
0213010682,TESTE DE NEUTRALIZACAO P/ IDENTIFICACAO DO VIRUS DA FEBRE AMARELA
0213010690,TESTE DE SENSIBITESTE DE SENSIBILIDADE EM MEIO LÍQUIDO AUTOMATIZADO PARA OS FÁRMACOS CONTRA MICOBACTÉRIAS.
0213010704,TESTE DE SORONEUTRALIZACAO P/ IDENTIFICACAO DO VIRUS DA RAIVA
0213010720,PESQUISA DE SARS-COV-2 POR RT - PCR
0213010739,TESTE DE BIOLOGIA MOLECULAR PARA HANSENÍASE.
0213010747,TESTE DE RESISTÊNCIA ANTIMICROBIANA PARA HANSENÍASE.
0213010755,TESTE DE HIBRIDIZAÇÃO DE SONDA EM LINHA DE 1ª LINHA PARA TUBERCULOSE (LPA)
0213010763,TESTE DE HIBRIDIZAÇÃO DE SONDA EM LINHA DE 2ª LINHA PARA TUBERCULOSE (LPA)
0213010771,TESTE MOLECULAR PARA A DETECÇÃO DE HIV-2
0213010780,DETECÇÃO RÁPIDA DA CARGA VIRAL DO HIV
0213010798,DETECÇÃO RÁPIDA DA CARGA VIRAL DO HBV
0213010801,DETECÇÃO RÁPIDA DA CARGA VIRAL DO HCV
0213010810,CONTAGEM RÁPIDA DE LINFÓCITOS CD4
0213010828,CULTURA LÍQUIDA AUTOMATIZADA PARA MICOBACTÉRIAS
0213020017,ANALISE DE BACTERIAS PATOGENICAS EM AGUA
0213020025,ANALISE DE BACTERIAS PATOGENICAS EM SOLO
0213020033,ANALISE DE COLIFORMES E BACTERIAS HETEROTROFICAS EM AGUA
0213020041,ANALISE DE METAIS PESADOS
0213020050,ANALISE DE RESIDUOS DE PESTICIDAS
0213020068,ANALISE FISICO-QUIMICA DE AGUA
0213020076,CULTURA PARA IDENTIFICAÇÃO DO VIBRIO CHOLERAE EM ANÁLISE DE ÁGUA
0213020084,CULTURA P/ IDENTIFICACAO DO VIBRIO CHOLERAE EM ANALISE DE ALIMENTOS
0214010015,GLICEMIA CAPILAR
0214010023,PESQUISA DE CORPOS CETONICOS NA URINA
0214010031,PESQUISA DE GLICOSE NA URINA
0214010040,TESTE RAPIDO PARA DETECCAO DE HIV NA GESTANTE OU PAI/PARCEIRO
0214010058,TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV
0214010066,TESTE RÁPIDO DE GRAVIDEZ
0214010074,TESTE RÁPIDO PARA SÍFILIS
0214010082,TESTE RÁPIDO PARA SÍFILIS NA GESTANTE OU PAI/PARCEIRO
0214010090,TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C
0214010104,TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV
0214010112,TESTE RÁPIDO PARA VÍRUS ZIKA IGG/IGM
0214010120,TESTE RÁPIDO PARA DENGUE IGG/IGM
0214010139,TESTE RÁPIDO PARA FEBRE CHIKUNGUNYA IGM
0214010155,TESTE RÁPIDO DE PROTEINÚRIA
0214010163,TESTE RÁPIDO PARA DETECÇÃO DE SARS-COVID-2
0214010171,TESTE RÁPIDO PARA AVALIAÇÂO DE CONTATOS DE HANSENIASE
0214010180,TESTE RÁPIDO PARA MALÁRIA
0214010198,TESTE RÁPIDO LF-LAM PARA TUBERCULOSE
0214010201,"TESTE IMUNOCROMATOGRÁFICO RÁPIDO PARA DETECÇÃO DE ANTICORPOS EM AMOSTRAS HUMANAS DE SANGUE TOTAL, SORO OU PLASMA PARA O DIAGNÓSTICO DA LVH.."
0214010210,TESTE RÁPIDO CRAG PARA CRIPTOCOCOSE
0301010013,CONSULTA AO PACIENTE CURADO DE TUBERCULOSE (TRATAMENTO SUPERVISIONADO)
0301010021,CONSULTA COM IDENTIFICAÇÃO DE CASOS NOVOS DE TUBERCULOSE
0301010030,CONSULTA DE PROFISSIONAIS DE NÍVEL SUPERIOR NA ATENÇÃO PRIMÁRIA (EXCETO MÉDICO)
0301010048,CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENÇÃO ESPECIALIZADA (EXCETO MÉDICO)
0301010056,CONSULTA MEDICA EM SAUDE DO TRABALHADOR
0301010064,CONSULTA MEDICA EM ATENÇÃO PRIMÁRIA
0301010072,CONSULTA MEDICA EM ATENÇÃO ESPECIALIZADA
0301010099,CONSULTA PARA AVALIAÇÃO CLÍNICA DO FUMANTE
0301010102,"CONSULTA PARA DIAGNÓSTICO/REAVALIAÇÃO DE GLAUCOMA (TONOMETRIA, FUNDOSCOPIA E CAMPIMETRIA)"
0301010110,CONSULTA PRÉ-NATAL
0301010129,CONSULTA PUERPERAL
0301010137,CONSULTA/ATENDIMENTO DOMICILIAR
0301010145,PRIMEIRA CONSULTA DE PEDIATRIA AO RECEM-NASCIDO
0301010153,PRIMEIRA CONSULTA ODONTOLOGICA PROGRAMÁTICA
0301010161,CONSULTA/ATENDIMENTO DOMICILIAR NA ATENÇÃO ESPECIALIZADA
0301010170,CONSULTA/AVALIAÇÃO EM PACIENTE INTERNADO
0301010196,AVALIAÇÃO CLÍNICA PARA DIAGNÓSTICO DE DOENÇAS RARAS - EIXO I: 1-ANOMALIAS CONGÊNITAS OU DE MANIFESTAÇÃO TARDIA
0301010200,AVALIAÇÃO CLÍNICA PARA DIAGNÓSTICO DE DOENÇAS RARAS - EIXO I: 2- DEFICIÊNCIA INTELECTUAL
0301010218,AVALIAÇÃO CLÍNICA DE DIAGNÓSTICO DE DOENÇAS RARAS EIXO I: 3 - ERROS INATOS DE METABOLISMO
0301010226,ACONSELHAMENTO GENÉTICO
0301010234,CONSULTA PRÉ-NATAL DO PARCEIRO
0301010250,TELECONSULTA NA ATENÇÃO PRIMÁRIA
0301010269,AVALIAÇÃO DO CRESCIMENTO NA PUERICULTURA
0301010277,AVALIAÇÃO DO DESENVOLVIMENTO DA CRIANÇA NA PUERICULTURA
0301010285,AVALIAÇÃO DO ESTÁGIO DE MATURAÇÃO SEXUAL
0301010293,ATENDIMENTO DE ADOLESCENTES EM CUMPRIMENTO DE MEDIDAS SOCIOEDUCATIVAS
0301010307,TELECONSULTA MÉDICA NA ATENÇÃO ESPECIALIZADA
0301010315,TELECONSULTA POR PROFISSIONAIS DE NÍVEL SUPERIOR NA ATENÇÃO ESPECIALIZADA (EXCETO MÉDICO)
0301010323,"AVALIAÇÃO DIÁRIA DA GESTANTE NA CASA DA GESTANTE, BEBÊ E PUÉRPERA - CGBP"
0301010331,"AVALIAÇÃO DIÁRIA DE PUÉRPERA NA CASA DA GESTANTE, BEBÊ E PUÉRPERA - CGBP"
0301010340,"AVALIAÇÃO DIÁRIA DE PUÉRPERA COM RECÉM-NASCIDOS INTERNADOS EM UNIDADES NEONATAIS NA CASA DA GESTANTE, BEBÊ E PUÉRPERA - CGBP"
0301010358,"AVALIAÇÃO DIÁRIA DE RECÉM-NASCIDOS OU CRIANÇAS NA CASA DA GESTANTE, BEBÊ E PUÉRPERA - CGBP"
0301010366,CONSULTA DE PRÉ-NATAL DE GESTANTE ALTO RISCO
0301010374,"CONSULTA DE ACOMPANHAMENTO DE RECÉM-NASCIDOS E CRIANÇA, PRIORITARIAMENTE, EGRESSA DE UNIDADE NEONATAL"
0301010382,ESTRATIFICAÇÃO DO RISCO CARDIOVASCULAR
0301020019,"ACOMPANHAMENTO, CUIDADO OU REABILITAÇÃO DE TRABALHADOR COM AGRAVO RELACIONADO AO TRABALHO"
0301020027,ACOMPANHAMENTO DE PACIENTE PORTADOR DE SEQUELAS RELACIONADAS AO TRABALHO
0301020035,EMISSÃO DE PARECER SOBRE NEXO CAUSAL
0301020043,"INVESTIGAÇÃO EPIDEMIOLÓGICA DO ÓBITO POR DOENÇAS, AGRAVOS OU ACIDENTES DE TRABALHO"
0301020051,INVESTIGAÇÃO DA RELAÇÃO DA DOENÇA OU AGRAVO RELACIONADO AO TRABALHO PARA FINS EPIDEMIOLÓGICOS
0301030014,SAMU 192:ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULAÇÃO DAS URGÊNCIAS
0301030022,ATENDIMENTO PRE-HOSPITALAR MOVEL (VEICULO DE INTERVENÇÃO RÁPIDA)
0301030049,SAMU 192:ATENDIMENTO PRÉ-HOSPITALAR MOVEL REALIZADO POR AEROMÉDICO
0301030057,SAMU 192: ATENDIMENTO PRÉ-HOSPITALAR MOVEL REALIZADO POR EMBARCAÇÃO
0301030065,ATENDIMENTO PRE-HOSPITALAR MOVEL DE SALVAMENTO E RESGATE
0301030073,ATENDIMENTO PRE-HOSPITALAR MOVEL DE SALVAMENTO E RESGATE MEDICALIZADO
0301030081,ATENDIMENTO PRE-HOSPITALAR MOVEL PELO SAMU 192: SALVAMENTO E RESGATE (AMBULANCIA TIPO C)
0301030090,SAMU 192: ATENDIMENTO PRÉ-HOSPITALAR MÓVEL REALIZADO PELA EQUIPE DA UNIDADE DE SUPORTE AVANÇADO DE VIDA TERRESTRE (USA)
0301030103,SAMU 192: ATENDIMENTO PRÉ-HOSPITALAR MOVEL REALIZADO PELA EQUIPE DE SUPORTE BASICO DE VIDA TERRESTRE (USB)
0301030111,REGULACAO MEDICA DE URGENCIA DA CENTRAL SAMU 192 C/ ACIONAMENTO DE MULTIPLOS MEIOS
0301030120,SAMU 192: ENVIO DE UNIDADE DE SUPORTE AVANÇADO DE VIDA TERRESTRE (USA) E/OU AQUATICO (EQUIPE DE EMBARCAÇÃO) E/OU EQUIPE DE AEROMEDICO.
0301030138,SAMU 192: ENVIO DE UNIDADE DE SUPORTE BASICO DE VIDA TERRESTRE (USB) E/OU AQUATICO (EQUIPE DE EMBARCAÇÃO E/OU MOTOLÂNCIA
0301030146,SAMU 192: ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULAÇÃO DAS URGÊNCIAS COM ORIENTAÇÃO
0301030154,REMOCAO EM AMBULANCIA DE SIMPLES TRANSPORTE (AMBULANCIA TIPO A)
0301030162,ATENDIMENTO PRE-HOSPITALAR MOVEL - SAMU 192: SUPORTE AVANCADO DE VIDA REALIZADO POR EMBARCACAO (AMBULANCIA TIPO F)
0301030170,SAMU 192: TRANSPORTE INTER-HOSPITALAR PELA UNIDADE DE SUPORTE AVANÇADO DE VIDA TERRESTRE (USA)
0301030189,SAMU 192: TRANSPORTE INTER-HOSPITALAR PELA UNIDADE DE SUPORET BASICO DE VIDA TERRESTRE (USB)
0301030197,ATENDIMENTO PRÉ-HOSPITALAR MÓVEL (MOTOLÂNCIA)
0301040010,ATENDIMENTO CLÍNICO PARA INDICAÇÃO E FORNECIMENTO DO DIAFRAGMA UTERINO
0301040036,TERAPIA EM GRUPO
0301040044,TERAPIA INDIVIDUAL
0301040052,ATENDIMENTO MULTIPROFISSIONAL PARA ATENÇÃO ÀS PESSOAS EM SITUAÇÃO DE VIOLÊNCIA SEXUAL
0301040060,COLETA DE VESTÍGIOS DE VIOLÊNCIA SEXUAL
0301040079,ESCUTA INICIAL / ORIENTAÇÃO (ACOLHIMENTO A DEMANDA ESPONT NEA)
0301040087,ATENDIMENTO EM GRUPO NA ATENÇÃO PRIMÁRIA
0301040095,EXAME DO PÉ DIABÉTICO
0301040141,INSERÇÃO DO DISPOSITIVO INTRA-UTERINO (DIU)
0301040150,RETIRADA DO DISPOSITIVO INTRA-UTERINO (DIU)
0301040168,PROCEDIMENTO PRÉ-OPERATÓRIOS REALIZADOS NA REDE DE SAÚDE  COMPLEMENTAÇÃO
0301040176,INSERÇÃO DO IMPLANTE SUBDÉRMICO LIBERADOR DE ETONOGESTREL
0301040184,RETIRADA DO IMPLANTE SUBDÉRMICO LIBERADOR DE ETONOGESTREL
0301050015,ACOMPANHAMENTO E AVALIAÇÃO DOMICILIAR DEPACIENTE SUBMETIDO À VENTILAÇÃO MECANICA NÃO INVASIVA- PACIENTE/MÊS
0301050023,ASSISTÊNCIA DOMICILIAR POR EQUIPE MULTIPROFISSIONAL.
0301050031,ASSISTÊNCIA DOMICILIAR POR EQUIPE MULTIPROFISSIONAL NA ATENÇÃO ESPECIALIZADA
0301050040,ASSISTÊNCIA DOMICILIAR TERAPÊUTICA MULTIPROFISSIONAL EM HIV/AIDS (ADTM)
0301050058,ASSISTÊNCIA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO
0301050066,INSTALAÇÃO / MANUTENÇÃO DE VENTILAÇÃO MECÂNICA NÃO INVASIVA DOMICILIAR
0301050074,INTERNAÇÃO DOMICILIAR
0301050082,ANTIBIOTICOTERAPIA PARENTERAL
0301050090,ATENDIMENTO MEDICO COM FINALIDADE DE ATESTAR ÓBITO
0301050104,VISITA DOMICILIAR PÓS ÓBITO
0301050112,ADMINISTRAÇÃO DE IMUNODERIVADOS (ORAL E/OU PARENTERAL)
0301050120,TERAPIA DE REIDRATAÇÃO PARENTERAL
0301050139,BUSCA ATIVA
0301050147,VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL SUPERIOR
0301050155,ACOMPANHAMENTO DE PACIENTE EM TERAPIA NUTRICIONAL
0301050163,ATENDIMENTO E ACOMPANHAMENTO DOMICILIAR DEPACIENTE SUBMETIDO À VENTILAÇÃO MECÂNICA INVASIVA DOMICILIAR
0301050171,AVALIAÇÃO DO PACIENTE EM VENTILAÇÃO MECÂNICA INVASIVADOMICILIAR
0301060010,DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA
0301060029,ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA
0301060037,ATENDIMENTO DE URGÊNCIA EM ATENÇÃO BÁSICA
0301060045,ATENDIMENTO DE URGÊNCIA EM ATENÇÃO PRIMÁRIA COM OBSERVAÇÃO ATÉ 8 HORAS
0301060053,ATENDIMENTO DE URGÊNCIA EM ATENÇÃO PRIMÁRIA COM REMOÇÃO
0301060061,ATENDIMENTO DE URGENCIA EM ATENCAO ESPECIALIZADA
0301060070,DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA
0301060088,DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA
0301060096,ATENDIMENTO MEDICO EM UNIDADE DE PRONTO ATENDIMENTO
0301060100,ATENDIMENTO ORTOPÉDICO COM IMOBILIZAÇÃO PROVISÓRIA
0301060118,ACOLHIMENTO COM CLASSIFICAÇÃO DE RISCO
0301070016,ACOMPANHAMENTO DE PACIENTE C/ IMPLANTE COCLEAR
0301070024,ACOMPANHAMENTO DE PACIENTE EM REABILITACAO EM COMUNICACAO ALTERNATIVA
0301070032,ACOMPANHAMENTO DE PACIENTE P/ ADAPTACAO DE APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) UNI / BILATERAL
0301070040,ACOMPANHAMENTO NEUROPSICOLÓGICO DE PACIENTE EM REABILITAÇÃO
0301070059,ACOMPANHAMENTO PSICOPEDAGOGICO DE PACIENTE EM REABILITACAO
0301070067,ATENDIMENTO / ACOMPANHAMENTO EM REABILITAÇÃO NAS MULTIPLAS DEFICIÊNCIAS
0301070075,ATENDIMENTO / ACOMPANHAMENTO DE PACIENTE EM REABILITACAO DO DESENVOLVIMENTO NEUROPSICOMOTOR
0301070083,ATENDIMENTO EM OFICINA TERAPÊUTICA I EM GRUPO PARA PESSOAS COM DEFICIÊNCIA (POR OFICINA TERAPÊUTICA I)
0301070091,ATENDIMENTO EM OFICINA TERAPÊUTICA II EM GRUPO PARA PESSOAS COM DEFICIÊNCIA (POR OFICINA TERAPÊUTICA II)
0301070105,ATENDIMENTO/ACOMPANHAMENTO INTENSIVO DE PACIENTE EM REABILITAÇÃO FÍSICA (1 TURNO PACIENTE-DIA - 15 ATENDIMENTOS-MÊS)
0301070113,TERAPIA FONOAUDIOLÓGICA INDIVIDUAL
0301070121,TRATAMENTO INTENSIVO DE PACIENTE EM REABILITAÇÃO FÍSICA (1 TURNO PACIENTE- DIA - 20 ATENDIMENTOS-MÊS)
0301070130,TRATAMENTO INTENSIVO DE PACIENTE EM REABILITAÇÃO FÍSICA (2 TURNOS PACIENTE-DIA - 20 ATENDIMENTOS-MÊS)
0301070148,TREINO DE ORIENTAÇÃO E MOBILIDADE
0301070156,AVALIAÇÃO MULTIPROFISSIONAL EM DEFICIÊNCIA VISUAL
0301070164,ATENDIMENTO/ACOMPANHAMENTO EM REABILITAÇÃO VISUAL
0301070172,MANUTENÇÃO DA PRÓTESE DE IMPLANTE COCLEAR
0301070180,ACOMPANHAMENTO DE PACIENTE COM PRÓTESE AUDITIVA ANCORADA NO OSSO
0301070199,ACOMPANHAMENTO DE PACIENTE COM IMPLANTE COCLEAR
0301070202,ESTIMULAÇÃO PRECOCE PARA DESENVOLVIMENTO NEUROPSICOMOTOR
0301070210,REABILITAÇÃO DE PACIENTES PÓS COVID-19
0301070229,REABILITAÇÃO CARDIORRESPIRATÓRIA DE PACIENTES PÓS COVID-19
0301070237,TELEATENDIMENTO/TELEMONITORAMENTO EM REABILITAÇÃO FÍSICA
0301070245,TELETENDIMENTO/TELEMONITORAMENTO EM REABILITAÇÃO VISUAL
0301070253,TELEATENDIMENTO/TELEMONITORAMENTO EM REABILITAÇÃO AUDITIVA
0301070261,TELEATENDIMENTO/TELEMONITORAMENTO EM REABILITAÇÃO INTELECTUAL
0301070270,MATRICIAMENTO DE EQUIPES DOS OUTROS PONTOS E NÍVEIS DA REDE DE ATENÇÃO À SAÚDE PARA ATENÇÃO À SAÚDE DAS PESSOAS COM DEFICIÊNCIA
0301070288,ALTA POR OBJETIVOS TERAPÊUTICOS ALCANÇADOS DA REABILITAÇÃO NA ATENÇÃO ESPECIALIZADA
0301070296,ESTIMULAÇÃO PRECOCE RELACIONADA AO NEURODESENVOLVIMENTO NA ATENÇÃO ESPECIALIZADA
0301070300,"ATENDIMENTO DE FAMILIARES, CUIDADORES E/OU ACOMPANHANTES DE PESSOAS COM DEFICIÊNCIA NOS SERVIÇOS DE REABILITAÇÃO DA ATENÇÃO ESPECIALIZADA"
0301080011,ABORDAGEM COGNITIVA COMPORTAMENTAL DO FUMANTE (POR ATENDIMENTO / PACIENTE)
0301080020,ACOLHIMENTO NOTURNO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
0301080038,ACOLHIMENTO EM TERCEIRO TURNO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
0301080046,ACOMPANHAMENTO DE PACIENTE EM SAUDE MENTAL (RESIDENCIA TERAPEUTICA)
0301080143,ATENDIMENTO EM OFICINA TERAPEUTICA I - SAUDE MENTAL
0301080151,ATENDIMENTO EM OFICINA TERAPEUTICA II - SAUDE MENTAL
0301080160,ATENDIMENTO EM PSICOTERAPIA DE GRUPO
0301080178,ATENDIMENTO INDIVIDUAL EM PSICOTERAPIA
0301080194,ACOLHIMENTO DIURNO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
0301080208,ATENDIMENTO INDIVIDUAL DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
0301080216,ATENDIMENTO EM GRUPO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
0301080224,ATENDIMENTO FAMILIAR EM CENTRO DE ATENÇÃO PSICOSSOCIAL
0301080232,ACOLHIMENTO INICIAL POR CENTRO DE ATENÇÃO PSICOSSOCIAL
0301080240,ATENDIMENTO DOMICILIAR PARA PACIENTES DE CENTRO DE ATENÇÃO PSICOSSOCIAL E/OU FAMILIARES
0301080259,AÇÕES DE ARTICULAÇÃO DE REDES INTRA E INTERSETORIAIS
0301080267,FORTALECIMENTO DO PROTAGONISMO DE USUÁRIOS DE CENTRO DE ATENÇÃO PSICOSSOCIAL E SEUS FAMILIARES
0301080275,PRÁTICAS CORPORAIS EM CENTRO DE ATENÇÃO PSICOSSOCIAL
0301080283,PRÁTICAS EXPRESSIVAS E COMUNICATIVAS EM CENTRO DE ATENÇÃO PSICOSSOCIAL
0301080291,ATENÇÃO ÀS SITUAÇÕES DE CRISE
0301080305,MATRICIAMENTO DE EQUIPES DA ATENÇÃO BÁSICA
0301080313,AÇÕES DE REDUÇÃO DE DANOS
0301080321,ACOMPANHAMENTO DE SERVIÇO RESIDENCIAL TERAPÊUTICO POR CENTRO DE ATENÇÃO PSICOSSOCIAL
0301080330,APOIO À SERVIÇO RESIDENCIAL DE CARÁTER TRANSITÓRIO POR CENTRO DE ATENÇÃO PSICOSSOCIAL
