Codigo,Descricao,ValorTUNEP
39051021,RESSECCAO (ANTERIOR) DO PROCESSO ODONTOIDE E / OU,"2.856,70"
39051102,TENODESE DE FLEXORES OU EXTENSORES,"359,68"
39051170,TRATAMENTO CIRURGICO DO PE TORTO CONGENITO INVETE,"602,91"
39052109,TRANSPOSICAO OU TRANSFERENCIA DE TENDAO POR DEDO,"374,87"
39052176,TRATAMENTO CIRURGICO DO HALUX VALGUS COM OSTEOTO,"622,67"
39053105,TENOPLASTIA OU ENXERTO DE TENDAO POR DEDO,"358,35"
39053172,TRATAMENTO CIRURGICO DO HALUX RIGIDUS,"469,74"
39054020,RESSECCAO DE ELEMENTOS VERTEBRAIS POSTERIORES NO,"1.896,35"
39054101,TRATAMENTO CIRURGICO DA ROTURA OU ARRANCAMENTO C,"451,96"
39054179,TRATAMENTO CIRURGICO DE METATARSO PRIMO VARO,"469,74"
39055027,RESSECCAO DE ELEMENTOS VERTEBRAIS POSTERIORES OU,"1.896,35"
39055108,REDUCAO INCRUENTA LUXACAO E FRATURA-LUXACAO META,"187,67"
39055175,TRATAMENTO CIRURGICO DE PE PLANO VALGO,"469,74"
39056023,RESSECCAO DE ELEMENTOS VERTEBRAIS POSTERIORES OU,"2.063,01"
39056171,TRATAMENTO CIRURGICO DE PE CAVO,"469,74"
39057020,OSTEOTOMIA DA COLUNA VIA ANTERIOR TRES OU MAIS NIVE,"3.424,98"
39057100,"DRENAGEM ABSCESSO DA MAO (DORSO, BAINHAS, ESPACOS ","187,67"
39057178,TRATAMENTO CIRURGICO DE PE TALO VERTICAL,"602,91"
39058026,OSTEOTOMIA DA COLUNA VIA POSTERIOR OU POSTERO-LAT,"2.856,70"
39058107,DRENAGEM ABSCESSO DE DEDO DA MAO,"187,67"
39058174,TRATAMENTO CIRURGICO DE COALISAO TARSAL,"469,72"
39059022,OSTEOTOMIA DA COLUNA VIA POSTERIOR OU POSTERO-LAT,"2.846,57"
39059170,TRATAMENTO CIRURGICO DE LESOES MIO-TENDINOSAS AO N,"374,87"
39060020,"TRATAMENTO CIRURGICO DE FRATURA, FRATURA-LUXACAO ","1.632,40"
39060179,TENOTOMIA OU TENOPLASTIAS AO NIVEL DO PE,"387,15"
39061027,"TRATAMENTO CIRURGICO DE FRATURA, LUXACAO OU FRATU ","3.014,20"
39061108,BIOPSIA OSSEA AO NIVEL DA MAO,"345,03"
39061175,"TRANSFERENCIA MUSCULAR OU TENDINOSA, NO PE ","374,87"
39062171,NEURECTOMIA AO NIVEL DO PE,"583,94"
39063178,OSTEOTOMIA EM OUTROS OSSOS DO TARSO OU METATARSO,"469,72"
39064026,REVISAO DE ARTRODESE OU TRATAMENTO CIRURGICO DE P,"3.010,47"
39064174,"TRATAMENTO CIRURGICO DA PSEUDO-ARTROSE, RETARDO D ","469,72"
39065170,"CORRECAO CIRURGICA DE PE EM FENDA, DEDO BIFIDO, MAC ","497,11"
39066177,SINDACTILIA CIRURGICA DOS DEDOS DO PE (PROCEDIMENT,"497,11"
39067173,OSTECTOMIA: EXCISAO PARCIAL DA CABECA DO QUINTO MET,"469,72"
39068170,"OSTECTOMIA, CURETAGEM OU EXCISAO DE LESAO NOS OS ","469,72"
39069028,VERTEBROPLASTIA POR INTRODUCAO DE MATERIAL SINTETI,"1.662,41"
39069176,TRATAMENTO CIRURGICO DA FRATURA DO ASTRAGALO,"469,74"
39070026,CORRECAO CIRURGICA DE GIBA COSTAL (COSTOPLASTIA DE,"862,03"
39070174,TRATAMENTO CIRURGICO DA FRATURA DO CALCANEO,"469,74"
39072177,BIOPSIA OSSEA AO NIVEL DO PE,"345,03"
39702049,DESARTICULACAO INTER ESCAPULO TORACICA,"4.464,74"
39702235,RESSECCAO DE TUMOR OSSEO COM ENXERTIA OSSEA,"1.589,56"
39703045,DESARTICULACAO INTER ESCAPULO MAMO TORACICA,"2.469,27"
39703231,RESSECCAO DE TUMORES OSSEOS COM SUBSTITUICAO (END,"4.482,17"
39704114,HEMIPELVECTOMIA,"4.708,94"
39705056,DESARTICULACAO DA ARTICULACAO ESCAPULO UMERAL,"1.378,09"
39706125,DESARTICULACAO DA ARTICULACAO COXO FEMORAL,"4.509,10"
39710238,RESSECCAO DO TUMOR MALIGNO DO OSSO TEMPORAL,"1.589,56"
39711234,RESSECCAO DE TUMOR OSSEO DA PELVIS (ENDOPELVECTOM,"4.794,27"
40001008,TRATAMENTO CONSERVADOR DO TRAUMATISMO CRANIOENC,"601,71"
40001016,RETIRADA DE PLACA DE CRANIOPLASTIA,"869,40"
40001024,ANASTOMOSE HIPOGLOSSO FACIAL,"1.313,35"
40001032,CORDOTOMIA / MIELOTOMIA,"1.521,87"
40001040,TRATAMENTO CIRURGICO DA EPILEPSIA,"8.972,58"
40001059,SIMPATECTOMIA,"1.857,85"
40002012,CRANIOPLASTIA,"1.465,48"
40002020,ANASTOMOSE ESPINO FACIAL,"2.484,00"
40002039,LAMINECTOMIA EXPLORADORA,"1.131,70"
40003027,ESCALENOTOMIA,"1.020,53"
40003035,LAMINECTOMIA DESCOMPRESSIVA,"1.131,70"
40004015,CRANIOTOMIA DESCOMPRESSIVA,"1.504,05"
40004031,LAMINECTOMIA PARA ABSCESSO EXTRADURAL,"1.444,59"
40005011,CRANIOTOMIA PARA TUMOR CEREBRAL INCLUSIVE DA FOSSA,"3.415,94"
40005038,LAMINECTOMIA PARA ARACNOIDITE ESPINHAL,"1.619,19"
40005046,ENXERTO DE NERVO,"1.313,35"
40006034,LAMINECTOMIA PARA LESAO TRAUMATICA MENINGO-MEDULA,"1.702,59"
40006042,EXPLORACAO CIRURGICA DE NERVOS,"1.156,64"
40007014,CRANIOTOMIA PARA REMOCAO DE CORPO ESTRANHO INTRA,"2.109,81"
40007030,LAMINECTOMIA PARA TUMORES INTRA-RAQUIANOS,"1.452,39"
40007049,NEUROLISE,"775,34"
40008010,CRANIOTOMIA PARA RESSECCAO DE CICATRIZ MENINGO-COR,"2.109,81"
40008045,NEURORRAFIA MULTIPLA,"1.219,00"
40009017,CRANIOTOMIA PARA ABSCESSO CEREBRAL,"1.835,12"
40009041,NEURORRAFIA UNICA,"950,27"
40010015,DESCOMPRESSAO DA ORBITA,"1.285,08"
40010040,NEUROTOMIA,"1.075,18"
40011011,DESTRUICAO DE ESTRUTURAS CEREBRAIS PROFUNDAS POR,"1.831,23"
40011038,RADICOTOMIA,"1.131,70"
40011046,TRANSPOSICAO DO NERVO CUBITAL,"459,67"
40012034,TRATAMENTO CIRURGICO DA HERNIA DISCAL DORSAL,"1.589,30"
40012042,EXTIRPACAO DE NEUROMA,"590,78"
40013030,TRATAMENTO CIRURGICO DA HERNIA DISCAL LOMBAR,"1.589,30"
40013049,MICROCIRURGIA DE NERVOS PERIFERICOS,"1.215,51"
40014010,HIPOFISECTOMIA CIRURGICA,"2.818,78"
40014037,TRATAMENTO CIRURGICO DA HERNIA DISCAL CERVICAL (VIA,"1.589,30"
40015033,TRATAMENTO CIRURGICO DA MENINGO-MIELOCELE,"1.131,70"
40016013,LOBECTOMIA PRE FRONTAL UNILATERAL,"1.504,05"
40016030,TRATAMENTO CIRURGICO DA HERNIA DISCAL CERVICAL,"1.589,30"
40017010,LOBECTOMIA PRE FRONTAL BILATERAL,"2.109,81"
40017036,RESSECCAO DO TUMOR SACRO COCCIGEANO,"1.452,39"
40018016,NEURECTOMIA DO INFRA-ORBITARIO,"1.075,18"
40018032,MICROCIRURGIA DE TUMORES MEDULARES,"2.713,35"
40019012,NEURECTOMIA DO DENTARIO INFERIOR,"1.075,18"
40019039,MICROCIRURGIA VASCULAR MEDULAR,"2.713,35"
40021033,BIOPSIA DA MEDULA ESPINHAL,"342,70"
40022013,NEUROTOMIA DIFERENCIADA NO TRIGEMIO,"2.484,00"
40022030,TRATAMENTO CIRURGICO DA SPINA BIFIDA,"1.131,70"
40023010,NEUROTOMIA POR VIA INFRATENTORIAL,"1.831,23"
40024016,NEUROTOMIA RETROGASSERIANA,"1.290,07"
40026019,PUNCAO VENTRICULAR COM TREPANACAO,"618,44"
40028011,MICROCIRURGIA VASCULAR INTRACRANIANA,"2.826,60"
40029018,MICROCIRURGIA DE TUMORES CEREBRAIS,"2.632,78"
40031012,TRATAMENTO CIRURGICO DA OSTEOMIELITE DO CRANIO,"1.383,82"
40032019,RESSECCAO DE MUCOCELE FRONTAL,"1.545,37"
40034011,RESSECCAO DO TUMOR INTRA-ORBITARIO,"1.285,08"
40036014,TRACAO CERVICAL TIPO CRUTCHFIELD,"985,28"
40038017,TRATAMENTO CIRURGICO DO HEMATOMA SUBDURAL,"1.744,98"
40039013,TRATAMENTO CIRURGICO DO HEMATOMA EXTRADURAL,"1.744,98"
40040011,TRATAMENTO CIRURGICO DO HEMATOMA INTRACEREBRAL,"1.744,98"
40041018,TRATAMENTO CIRURGICO DA CRANIOSSINOSTOSE,"1.652,17"
40042014,TRATAMENTO CIRURGICO DA EPILEPSIA TEMPORAL,"2.484,00"
40043010,TRATAMENTO CIRURGICO DA MENINGOCELE,"1.623,94"
40044017,TRATAMENTO CIRURGICO DA FISTULA LIQUORICA,"2.099,86"
40045013,TRATAMENTO CIRURGICO DA PLATIBASIA E MALFORMACAO D,"1.880,20"
40046010,TRATAMENTO CIRURGICO DA FRATURA DO CRANIO COM AFU,"1.623,94"
40047016,TREPANO PUNCAO E DRENAGEM DE ABSCESSO CEREBRAL,"1.789,91"
40048012,TRACTOMIA TRIGEMINAL,"2.484,00"
40049019,TERCEIRO VENTRICULOSTOMIA,"1.044,30"
40050017,VENTRICULOCISTERNOSTOMIA,"1.357,39"
40052010,VENTRICULOAURICULOSTOMIA,"1.357,39"
40057011,CRANIECTOMIA PARA TUMOR OSSEO,"1.504,05"
40058018,"EMBOLIZACAO DE AFERENTES, MALFORMACOES VASCULARE ","1.759,61"
40059014,HIPOFISECTOMIA SELETIVA COM AUXILIO DO MICROSCOPIO,"2.812,78"
40060012,TREPANACAO CRANIANA PARA PROPEDEUTICA NEUROCIRUR,"869,40"
40061019,VENTRICULOPERITONIOSTOMIA,"2.484,00"
40062015,REVISAO DE COMPLICACAO DA VENTRICULOPERITONIOSTOM,"1.760,62"
40200000,TRATAMENTO CONSERVADOR DO TRAUMATISMO CRANIOENC,"2.413,27"
40200019,TREPANACAO CRANIANA PARA PROPEDEUTICA NEUROCIRUR,"1.045,47"
40200043,NEUROLISE,"1.164,24"
40201007,TRATAMENTO CONSERVADOR DO TRAUMATISMO RAQUI-MED,"1.499,37"
40201015,TRACAO CERVICAL TIPO CRUTCHFIELD,"1.220,06"
40201031,LAMINECTOMIA EXPLORADORA,"1.862,98"
40201040,NEUROTOMIA,"1.164,24"
40202003,TRATAMENTO CONSERVADOR DA HEMORRAGIA CEREBRAL,"2.413,27"
40202038,LAMINECTOMIA PARA ABSCESSO EXTRADURAL,"1.862,98"
40202046,BIOPSIA DE NERVO,"1.164,24"
40203000,TRATAMENTO CONSERVADOR DA DOR REBELDE,"1.499,37"
40203018,CRANIOPLASTIA,"1.584,73"
40203034,DERIVACAO LOMBO PERITONIAL,"1.862,98"
40203042,NEURORRAFIA UNICA,"1.164,24"
40204006,TRATAMENTO CONSERVADOR DE TUMOR CEREBRAL,"1.499,37"
40204014,RETIRADA DE PLACA DE CRANIOPLASTIA,"1.584,73"
40204030,RADICOTOMIA,"1.862,98"
40204049,SIMPATECTOMIA,"1.676,42"
40205002,TRATAMENTO CONSERVADOR DA HIPERTENSAO INTRACRAN,"2.413,27"
40205010,TRATAMENTO CIRURGICO DA OSTEOMIELITE DO CRANIO,"1.584,73"
40205037,TRATAMENTO CIRURGICO DOS DISRAFISMOS,"1.862,98"
40205045,EXTIRPACAO DE NEUROMA,"1.659,49"
40206009,TRATAMENTO CONSERVADOR DO TRAUMATISMO CRANIOENC,"1.524,35"
40206017,CRANIOTOMIA DESCOMPRESSIVA,"1.584,73"
40206033,CORDOTOMIA,"2.814,98"
40206041,TRATAMENTO CIRURGICO DA NEUROPATIA COMPRESSIVA,"1.659,49"
40207005,TRATAMENTO CONSERVADOR DO TRAUMATISMO RAQUI-MED,"869,00"
40207013,RESSECCAO DE MUCOCELE FRONTAL,"1.584,73"
40207030,MIELOTOMIA,"2.814,98"
40207048,NEURORRAFIA MULTIPLA,"1.659,49"
40208001,TRATAMENTO CONSERVADOR DA HEMORRAGIA CEREBRAL,"1.524,35"
40208010,TRATAMENTO CIRURGICO DA FRATURA DO CRANIO COM AFU,"1.644,31"
40208036,LAMINECTOMIA PARA ARACNOIDITE ESPINHAL,"2.814,98"
40208044,MICROCIRURGIA DO NERVO PERIFERICO,"2.647,61"
40209008,TRATAMENTO CONSERVADOR DA DOR REBELDE,"869,00"
40209016,DERIVACAO VENTRICULAR EXTERNA,"1.584,73"
40209032,TRATAMENTO CIRURGICO DE HERNIA DISCAL CERVICAL,"2.814,98"
40209040,MICROCIRURGIA DE NERVO COM ENXERTO,"2.647,61"
40210006,TRATAMENTO CONSERVADOR DE TUMOR CEREBRAL,"869,00"
40210014,TRATAMENTO CIRURGICO DO HEMATOMA SUBDURAL,"1.995,98"
40210030,TRATAMENTO CIRURGICO DE HERNIA DISCAL LOMBAR,"2.814,98"
40210049,ANASTOMOSE HIPOGLOSSO FACIAL,"2.647,61"
40211002,TRATAMENTO CONSERVADOR DA HIPERTENSAO INTRACRAN,"1.524,35"
40211010,TRATAMENTO CIRURGICO DO HEMATOMA EXTRADURAL,"1.995,98"
40211037,ARTRODESE DA COLUNA POR VIA ANTERIOR,"2.814,98"
40211045,ANASTOMOSE ESPINO FACIAL,"2.647,61"
40212009,LESAO ESTEREOTAXICA DE ESTRUTURA PROFUNDA PARA TR,"2.914,55"
40212017,TRATAMENTO CIRURGICO DO HEMATOMA INTRACEREBRAL,"1.995,98"
40212033,ARTRODESE DA COLUNA POR VIA POSTERIOR,"2.814,98"
40212041,NEUROTOMIA SELETIVA DO TRIGEMIO E OUTROS NERVOS CR,"2.647,61"
40213005,IMPLANTE INTRA-TECAL DE BOMBA DE INFUSAO DE FARMACO,"1.882,15"
40213013,CRANIECTOMIA PARA TUMOR OSSEO,"1.995,98"
40213030,LAMINECTOMIA PARA LESAO TRAUMATICA MEDULAR,"2.814,98"
40213048,MICROCIRURGIA DO PLEXO BRAQUIAL,"3.239,11"
40214010,CRANIOTOMIA PARA REMOCAO DE CORPO ESTRANHO INTRA,"1.995,98"
40214036,LAMINECTOMIA PARA TUMORES EPIDURAIS,"2.814,98"
40214044,BLOQUEIO DE NERVO PERIFERICO,"855,70"
40215008,"DRENAGEM ESTEROTAXICA - CISTOS, HEMATOMAS OU ABCE ","2.655,24"
40215016,VENTRICULOPERITONIOSTOMIA,"2.562,49"
40215032,RESSECCAO DE TUMORES SACRO COCCIGEOS,"2.814,98"
40215040,BLOQUEIO DO SISTEMA NERVOSO AUTONOMO,"855,70"
40216004,RETIRADA DE CORPO ESTRANHO POR VIA ESTERIOTAXICA,"2.655,24"
40216012,VENTRICULOAURICULOSTOMIA,"1.995,98"
40216039,TRATAMENTO CIRURGICO DA MENINGO-MIELOCELE,"2.814,98"
40216047,NEUROTOMIA PERCUTANEA DE NERVOS PERIFERICOS POR A,"855,70"
40217000,BIOPSIA ESTEREOTAXICA,"2.655,24"
40217019,REVISAO DE COMPLICACAO DA VENTRICULOPERITONIOSTOM,"1.995,98"
40217035,TRATAMENTO CIRURGICO DA HERNIA DISCAL TORACICA,"2.814,98"
40217043,LESAO DO SISTEMA NERVOSO AUTONOMO POR AGENTES QU,"2.084,74"
40218015,REVISAO DE COMPLICACAO DA VENTRICULOATRIOSTOMIA,"1.995,98"
40218031,MICROCIRURGIA DA HERNIA DISCAL TORACICA,"2.972,48"
40218040,RIZOTOMIA PERCUTANEA,"2.084,74"
40219011,TRATAMENTO CIRURGICO DA MENINGOCELE,"1.973,86"
40219038,MICROCIRURGIA DA HERNIA DISCAL LOMBAR,"2.972,48"
40219046,RIZOTOMIA PERCURTANEA POR RADIO FREQUENCIA,"1.882,15"
40220010,CRANIOTOMIA PARA TUMOR CEREBRAL DA CONVEXIDADE,"3.189,06"
40220036,MICROCIRURGIA DA SERINGOMIELIA,"2.972,48"
40220044,RIZOTOMIA ABERTA,"1.882,15"
40221016,CRANIOTOMIA PARA TUMOR INFRATENTORIAL,"2.832,19"
40221032,TRATAMENTO MICROCIRURGICO DO CANAL VERTEBRAL ESTR,"2.972,48"
40222012,CRANIOTOMIA PARA CISTOS ENCEFALICOS,"3.189,06"
40222039,ARTRODESE DA COLUNA COM INSTRUMENTACAO POR VIA AN,"2.972,48"
40223019,TRATAMENTO CIRURGICO DO ABSCESSO INTRACRANIANO,"2.704,10"
40223035,ARTRODESE DA COLUNA COM INSTRUMENTACAO POR VIA PO,"2.972,48"
40224015,CRANIOTOMIA PARA GRANULOMAS INTRACRANIANOS,"3.189,06"
40224031,MICROCIRURGIA DE TUMOR INTRADURAL,"3.639,23"
40225011,TRATAMENTO CIRURGICO DA FISTULA LIQUORICA ESPONTAN,"2.704,10"
40225038,MICROCIRURGIA PARA MALFORMACAO ARTERIO VENOSA,"3.639,23"
40226018,RECONSTRUCAO CRANIANA OU CRANIO FACIAL,"3.189,06"
40226034,SUBSTITUICAO DE CORPO VERTEBRAL,"3.639,23"
40227014,TRATAMENTO CIRURGICO DA CRANIOSINOSTOSE,"2.704,10"
40227030,MICROCIRURGIA DO TUMOR MEDULAR COM ASPIRACAO ULTR,"3.682,98"
40228010,CRANIOTOMIA PARA BIOPSIA ENCEFALICA,"2.704,10"
40228037,MICROCIRURGIA DO TUMOR MEDULAR COM LASER,"3.682,98"
40229017,TRATAMENTO CIRURGICO DA PLATIBASIA E MALFORMACAO D,"2.704,10"
40229033,CORDOTOMIA / MIELOTOMIA POR RADIO FREQUENCIA,"2.708,30"
40230015,DESCOMPRESSAO DA ORBITA,"2.704,10"
40230031,LESAO DA SUBSTANCIA GELATINOSA POR RADIO FREQUENC,"2.708,30"
40231011,MICROCIRURGIA VASCULAR INTRACRANIANA,"3.728,97"
40231038,IMPLANTE DE ELETRODO PARA ESTIMULACAO CEREBRAL,"2.708,30"
40232000,IMPLANTE DE ESTIMULADOR MEDULAR,"2.776,51"
40232018,MICROCIRURGIA PARA TUMOR ENCEFALICO (PROFUNDO),"3.728,97"
40233014,MICROCIRURGIA PARA TUMOR DE ORBITA,"3.728,97"
40234010,MICROCIRURGIA PARA TUMORES DA BASE DO CRANIO,"3.728,97"
40235017,MICROCIRURGIA INTRACRANIANA COM AUXILIO DO ULTRA-SO,"3.728,97"
40236013,DESCOMPRESSAO NEUROVASCULAR DE NERVOS CRANIANO,"3.728,97"
40237010,HIPOFISECTOMIA TRANSESFENOIDAL COM MICROSCOPIO,"3.728,97"
40238016,MICROCIRURGIA DE TUMOR CEREBRAL COM ASPIRACAO ULT,"4.035,22"
40239012,MICROCIRURGIA DO TUMOR CEREBRAL COM LASER,"4.035,22"
40240010,TRATAMENTO CIRURGICO DOS TUMORES DA BASE DO CRAN,"4.035,22"
40241017,MICROCIRURGIA CEREBRAL ENDOSCOPICA,"4.035,22"
40242013,LIGADURA DE CAROTIDA,"1.273,86"
40243010,TRATAMENTO CIRURGICO DA ISQUEMIA CEREBRAL,"2.666,86"
40244016,TRATAMENTO CIRURGICO DA FISTULA CAROTIDO CAVERNOS,"3.049,84"
40245012,HIPOFISECTOMIA POR AGENTES QUIMICOS,"2.084,74"
40246019,HIPOFISECTOMIA POR RADIO FREQUENCIA,"2.002,11"
40247015,TRATOTOMIA E NUCLEOTOMIA DO TRONCO CEREBRAL,"2.655,24"
40248011,TRATAMENTO CIRURGICO DOS TUMORES EXTRACRANIANOS,"1.584,73"
40249018,EMBOLIZACAO DE TUMORES INTRACRANIANOS OU DA CABEC,"2.430,94"
40250016,EMBOLIZACAO DE ANEURISMAS CEREBRAIS COM ESPIRAIS D,"2.707,44"
40251012,EMBOLIZACAO DE MALFORMACOES ARTERIOVENOSAS,"2.567,44"
40252019,EMBOLIZACAO DE FISTULAS CAROTIDO-CAVERNOSAS COM B,"2.602,44"
40260011,RADIOCIRURGIA ESTEREOTAXICA,"3.101,00"
40270017,RADIOCIRURGIA POR GAMAKNIFE,"3.101,00"
40290000,PROCEDIMENTOS SEQUENCIAIS EM NEUROCIRURGIA,"0,00"
40705013,CRANIOTOMIA PARA TUMOR CEREBRAL INCLUSIVE DA FOSSA,"3.377,77"
40707032,LAMINECTOMIA PARA TUMORES INTRA-RAQUIANOS,"4.601,71"
40712044,EXTIRPACAO DE NEUROMA,"947,59"
40714012,HIPOFISECTOMIA CIRURGICA,"4.949,07"
40718034,MICROCIRURGIA DE TUMORES MEDULARES,"3.625,83"
40719030,RESSECCAO DE TUMOR DO CORPO VERTEBRAL,"6.322,59"
40734013,RESSECCAO DE TUMOR INTRA-ORBITARIO,"4.417,51"
40757013,CRANIECTOMIA PARA TUMOR OSSEO,"3.162,12"
41001010,PARATIREOIDECTOMIA,"1.860,14"
41001028,SUPRARRENALECTOMIA UNILATERAL,"1.761,78"
41001036,TIMECTOMIA,"1.531,41"
41001044,TIROIDECTOMIA PARCIAL,"1.192,45"
41002016,BIOPSIA DA PARATIREOIDE,"582,20"
41002024,SUPRARRENALECTOMIA BILATERAL,"1.903,11"
41002040,BIOPSIA DA TIREOIDE,"521,89"
41003047,TIROIDECTOMIA TOTAL,"1.192,45"
41004043,TIROIDECTOMIA TOTAL COM ESVAZIAMENTO GANGLIONAR,"2.425,45"
41005040,EXTIRPACAO DE BOCIO INTRATORACICO POR VIA TRANSEST,"2.082,84"
41701011,PARATIREOIDECTOMIA,"1.872,81"
41701020,SUPRARRENALECTOMIA BILATERAL,"4.744,43"
41703049,TIROIDECTOMIA TOTAL,"1.974,48"
41704045,TIROIDECTOMIA TOTAL COM ESVAZIAMENTO GANGLIONAR,"4.624,10"
41705041,EXTIRPACAO DE BOCIO INTRATORACICO POR VIA TRANSEST,"4.581,94"
42001013,CIRURGIA DA FISTULA BRONCOPLEURAL COM AMPUTACAO D,"1.966,57"
42001021,BIOPSIA DE PLEURA OU PLEUROSCOPIA,"342,70"
42001030,TRAQUEOSCOPIA E EXERESE DE PAPILOMAS,"444,27"
42001056,MEDIASTINOTOMIA PARA DRENAGEM,"1.563,62"
42001064,COSTECTOMIA,"832,76"
42002036,TRAQUEOSCOPIA E RETIRADA DE CORPO ESTRANHO,"339,42"
42002052,MEDIASTINOTOMIA (EXPLORADORA) TRANS-ESTERNAL,"1.494,57"
42002060,TRATAMENTO CIRURGICO DOS DEFEITOS DO TORAX,"1.832,31"
42002079,EXTIRPACAO DE TUMOR OU ADENOMA DA MAMA,"464,49"
42003016,DESCORTICACAO PULMONAR,"2.230,92"
42003067,ESTERNECTOMIA COM OU SEM PROTESE,"1.812,03"
42003075,INCISAO E DRENAGEM DE ABSCESSO DA MAMA,"402,38"
42004012,LOBECTOMIA,"1.633,94"
42004020,FECHAMENTO DE PLEUROSTOMIA,"774,11"
42004039,TRAQUEOTOMIA (INCLUSIVE CURATIVOS),"645,10"
42004047,BRONCOSCOPIA E EXERESE DE PAPILOMAS,"709,60"
42004055,RESSECCAO DO TUMOR DO MEDIASTINO,"1.849,02"
42004071,MASTECTOMIA SIMPLES,"1.063,38"
42005019,PNEUMOMECTOMIA,"1.924,64"
42005060,TORACECTOMIA COM RECONSTRUCAO PARIETAL POR PROTE,"1.856,19"
42005078,MASTECTOMIA RADICAL COM LINFADENECTOMIA,"2.199,20"
42006015,PNEUMOTOMIA COM RESSECCAO COSTAL PARA DRENAGEM,"1.457,01"
42006031,TRAQUELOPLASTIA E LARINGOTRAQUEOPLASTIA,"1.843,15"
42006040,BRONCOTOMIA E/OU BRONCORRAFIA,"2.266,06"
42006066,TORACOPLASTIA (QUALQUER TECNICA),"1.759,04"
42007011,PNEUMOTOMIA COM RETIRADA DE CORPO ESTRANHO,"1.423,01"
42007020,CIRURGIA DA PAREDE TORACICA IV,"1.907,64"
42007054,MEDIASTINOTOMIA EXTRAPLEURAL POR VIA POSTERIOR,"1.446,78"
42007062,TORACOTOMIA EXPLORADORA,"1.679,70"
42008026,TRATAMENTO OPERATORIO DA HEMORRAGIA INTRAPLEURAL,"933,96"
42008034,TRAQUEORRAFIA (QUALQUER VIA),"774,11"
42008050,TRATAMENTO DE MEDIASTINITE (QUALQUER VIA),"1.907,47"
42008069,TORACOTOMIA COM DRENAGEM FECHADA,"1.107,03"
42009030,"COLOCACAO DE ORTESE TRAQUEAL TRAQUEOBRONQUICA, B ","358,84"
42009065,VIDEOTORACOSCOPIA,"1.868,39"
42010039,TRAQUEOSTOMIA COM COLOCACAO DE ORTESE TRAQUEAL O,"351,26"
42010063,PLEUROSTOMIA,"1.077,05"
42010071,SETORECTOMIA,"498,19"
42011019,RESSECCAO PULMONAR PARCIAL OU TOTAL ASSOCIADO A R,"2.090,50"
42011035,FECHAMENTO DE FISTULA TRAQUEO-CUTANEA,"774,11"
42011060,RETIRADA DE CORPO ESTRANHO DA PAREDE TORACICA,"871,75"
42011078,SETORECTOMIA COM ESVAZIAMENTO GANGLIONAR,"1.017,66"
42012015,"SEGMENTECTOMIA ( EM CUNHA , RETANGULO, TUMORECTOM ","1.713,39"
42012031,TRAQUEOSTOMIA MEDIASTINAL,"839,09"
42012066,TRATAMENTO CIRURGICO DE FRATURA DO ESTERNO,"1.067,64"
42013011,PLEURODESE,"1.475,71"
42013038,COLOCACAO DE PROTESE TRAQUEAL OU TRAQUEOBRONQU,"436,56"
42013062,TORACOTOMIA PARA PROCEDIMENTOS ORTOPEDICOS SOBR,"933,96"
42014034,TRATAMENTO CIRURGICO DE FISTULA TRAQUEOESOFAGICA,"2.128,40"
42014069,TRATAMENTO CIRURGICO DE FRATURAS DO GRADIL COSTAL,"1.067,64"
42015030,RESSECCAO DE TUMOR TRAQUEAL,"358,84"
42015065,TRACAO ESQUELETICA DO GRADIL COSTO-ESTERNAL (TRAUM,"1.067,64"
42016010,DRENAGEM TUBULAR ABERTA DE CAVIDADE PULMONAR,"884,00"
42016037,TRAQUEOPLASTIA (QUALQUER VIA),"839,09"
42016061,ESTERNECTOMIA SUBTOTAL,"1.432,97"
42017017,PNEUMORRAFIA,"1.497,56"
42017033,RESSECCAO CARINAL (TRAQUEOBRONQUICA),"2.266,06"
42017068,TORACECTOMIA (SEM RECONSTRUCAO PARIETAL),"1.432,59"
42018013,METASTASECTOMIA PULMONAR UNILATERAL,"1.497,56"
42018064,PLUMBAGEM EXTRAFASCIAL,"1.432,59"
42019010,BULECTOMIA UNILATERAL,"1.497,56"
42019060,LIGADURA DE ARTERIAS BRONQUICAS POR TORACOTOMIA P,"933,96"
42020018,PNEUMONECTOMIA DE TOTALIZACAO,"1.497,56"
42020069,LIGADURA DO DUCTO-TORACICO (QUALQUER VIA),"933,96"
42021014,CIRURGIA REDUTORA DO VOLUME PULMONAR UNILATERAL,"1.497,56"
42021065,VAGOTOMIA TRONCULAR TERAPEUTICA POR TORACOTOMIA,"1.218,25"
42022010,TROMBOENDARTERECTOMIA PULMONAR,"1.747,11"
42022061,MOBILIZACAO DE RETALHOS MUSCULARES OU DO OMENTO,"1.435,93"
42023068,COLOCACAO DE MOLDE BRONQUICO POR TORACOTOMIA,"2.266,06"
42024064,RESSECCAO DE TUMOR DO DIAFRAGMA E RECONSTRUCAO (,"2.266,06"
42704014,LOBECTOMIA PULMONAR,"2.335,32"
42704073,MASTECTOMIA SIMPLES,"1.102,55"
42705010,PNEUMOMECTOMIA,"4.519,01"
42705061,TORACECTOMIA COM RECONSTRUCAO PARIETAL POR PROTE,"4.744,43"
42705070,MASTECTOMIA RADICAL COM LINFADENECTOMIA,"2.472,97"
42707064,TORACOTOMIA EXPLORADORA,"1.645,47"
42707072,EXTIRPACAO DO MAMILO,"548,86"
